Place Name,Area Type,Weather,Altitude (m),Region,Cost Estimates (?),Wikipedia Link,Image
Ranikhet,Hill Station,Pleasant summers and  cold winters,1829,Kumaon,5000-10000,https://en.wikipedia.org/wiki/Ranikhet,https://tse1.mm.bing.net/th?id=OIP.mpDua2HZ9KaYViOtwpVUGgHaE7&pid=Api&P=0&h=180
Jageshwar,Temple complex,Pleasant summers and  cold winters,1870,Kumaon,2000-5000,https://en.wikipedia.org/wiki/Jageshwar,https://tse4.mm.bing.net/th?id=OIP.Swwpr0MhYvOng6SI-8LPYwHaFj&pid=Api&P=0&h=180
Bageshwar,Hill Station,Pleasant summers and cold winters,1036,Kumaon,4000-8000,https://en.wikipedia.org/wiki/Bageshwar_district,https://tse4.mm.bing.net/th?id=OIP.8e41GYRoGj0TChCJYwZStwHaFB&pid=Api&P=0&h=180
Gwaldam,Hill Station,Pleasant summers and  cold winters,1830,Garhwal,4000-8000,https://en.wikipedia.org/wiki/Gwaldam,https://tse4.mm.bing.net/th?id=OIP.3crFnlYfPiXhwwgaG2OhSgHaDf&pid=Api&P=0&h=180
Pangot,Hill Station,Pleasant summers and cold winters,1793,Kumaon,4000-8000,https://en.wikipedia.org/wiki/Pangot,https://tse2.mm.bing.net/th?id=OIP.tJd8FlgDg3FbNGsQCFT5ngHaEj&pid=Api&P=0&h=180
Kathgodam,Railway town,Subtropical climate,387,Kumaon,2000-5000,https://en.wikipedia.org/wiki/Kathgodam,https://tse2.mm.bing.net/th?id=OIP.FjaU5MAFOvTDzQv3KREH5wHaDl&pid=Api&P=0&h=180
Chamoli,Hill town,Pleasant summers and cold winters,1264,Garhwal,4000-8000,https://en.wikipedia.org/wiki/Chamoli_district,https://tse4.mm.bing.net/th?id=OIP.3VvROYUhLdS_Vdf2AoXbCAHaEK&pid=Api&P=0&h=180
Pauri,Hill town,Pleasant summers and cold winters,1871,Garhwal,4000-8000,https://en.wikipedia.org/wiki/Pauri_Garhwal_district,https://tse2.mm.bing.net/th?id=OIP.33ZrkZ1PL4CcpkzwPDtsMwHaE8&pid=Api&P=0&h=180
Khirsu,Hill Station,Pleasant summers and cold winters,2000,Garhwal,5000-10000,https://en.wikipedia.org/wiki/Khirsu,https://tse4.mm.bing.net/th?id=OIP.zcsjTSM9uqBcxq91D_3POAHaDq&pid=Api&P=0&h=180
Rudraprayag,Town,Subtropical climate,878,Garhwal,2000-5000,https://en.wikipedia.org/wiki/Rudraprayag_district,https://tse3.mm.bing.net/th?id=OIP.9m-d7gEMYTUvl4QQG_ZreQHaD6&pid=Api&P=0&h=180
Gaumukh,Glacier source,Cold alpine climate,3810,Garhwal,7000-15000,https://en.wikipedia.org/wiki/Gaumukh,https://tse2.mm.bing.net/th?id=OIP.8rjrCxPPD7YmpIo3KS-4-wHaE7&pid=Api&P=0&h=180
Kanatal,Hill Station,Pleasant summers and cold winters,2000,Garhwal,4000-8000,https://en.wikipedia.org/wiki/Kanatal,https://tse2.mm.bing.net/th?id=OIP.eCAl1y4Ql-JYn6QG90k4IwHaFj&pid=Api&P=0&h=180
Chamba,Hill Station,Pleasant summers and cold winters,1600,Garhwal,4000-8000,https://en.wikipedia.org/wiki/Chamba_district,https://tse2.mm.bing.net/th?id=OIP.eCAl1y4Ql-JYn6QG90k4IwHaFj&pid=Api&P=0&h=180
Dayara Bugyal,Meadow,Cold alpine climate,3500,Garhwal,5000-10000,https://en.wikipedia.org/wiki/Dayara_Bugyal,https://tse1.mm.bing.net/th?id=OIP.vJl36pptNMggMzD9uBaCYwHaDt&pid=Api&P=0&h=180
Gaurikund,Pilgrimage site,Cold alpine climate,2974,Garhwal,5000-10000,https://en.wikipedia.org/wiki/Gaurikund,https://tse1.mm.bing.net/th?id=OIP.ldNnwntKLl1q_HnyJmGLIwHaEH&pid=Api&P=0&h=180
Tehri Dam,Dam,Subtropical climate,830,Garhwal,2000-5000,https://en.wikipedia.org/wiki/Tehri_Dam,https://tse4.mm.bing.net/th?id=OIP.-EsMnZMJLEySD7Ms4HJ0VwHaD8&pid=Api&P=0&h=180
Madhyamaheshwar,Temple,Cold alpine climate,3497,Garhwal,7000-15000,https://en.wikipedia.org/wiki/Madhyamaheshwar,https://www.adotrip.com/public/images/areas/5d441c4e31a52-Madhyamaheshwar%20Sightseeing.jpg
Rudra Prayag,Town,Subtropical climate,878,Garhwal,2000-5000,https://en.wikipedia.org/wiki/Rudraprayag_district,https://tse3.mm.bing.net/th?id=OIP.9m-d7gEMYTUvl4QQG_ZreQHaD6&pid=Api&P=0&h=180
Lohaghat,Hill Station,Pleasant summer and  cold winters,1788,Kumaon,4000-8000,https://en.wikipedia.org/wiki/Lohaghat,https://tse4.mm.bing.net/th?id=OIP.NU-YOGc7f5AvlfFNRCjArAHaEW&pid=Api&P=0&h=180
Barkot,Hill town,Pleasant summers and  cold winters,1230,Garhwal,3000-6000,https://en.wikipedia.org/wiki/Barkot,https://tse1.mm.bing.net/th?id=OIP.4VglF4t_pwY4MjSttnOB7gHaEK&pid=Api&P=0&h=180
Chaukori,Hill Station,Pleasant summers and  cold winters,2010,Kumaon,4000-8000,https://en.wikipedia.org/wiki/Chaukori,https://tse1.mm.bing.net/th?id=OIP.fsEL0MU7uoZSjdsVEZxazgHaE8&pid=Api&P=0&h=180
Chidiya Tapu,Bird Sanctuary,Subtropical climate,610,Kumaon,2000-5000,https://wikitia.com/wiki/Chidiyatapu_%28RV%29_%28Andaman_and_Nicobar_Islands%29,https://tse3.mm.bing.net/th?id=OIP.mFdhug4RDq0EMzGJZduBBgHaE7&pid=Api&P=0&h=180
Baijnath,Temple town,Subtropical climate,1150,Kumaon,2000-5000,"https://en.wikipedia.org/wiki/Baijnath,_Himachal_Pradesh",https://tse2.mm.bing.net/th?id=OIP.Bwu-PlCB4PqqQgOCJqg80AHaE8&pid=Api&P=0&h=180
Bhimtal,Hill Station,Pleasant summers and cold winters,1370,Kumaon,3000-6000,https://en.wikipedia.org/wiki/Bhimtal_Lake,https://tse4.mm.bing.net/th?id=OIP.FgpP_sH1HswN32dVlQ9WgQHaDP&pid=Api&P=0&h=180
Masi,Hill Station,Pleasant summers and cold winters,1950,Kumaon,3000-6000,"https://en.wikipedia.org/wiki/Masi,_Almora",https://tse3.mm.bing.net/th?id=OIP.pznu-vee7uR0Jso_e5bxuwHaFj&pid=Api&P=0&h=180
Dhanaulti,Hill Station,Pleasant summers and cold winters,2286,Garhwal,3000-6000,https://en.wikipedia.org/wiki/Dhanaulti,https://tse4.mm.bing.net/th?id=OIP.s2WSZlm9FzH13uq9orV9AAHaEg&pid=Api&P=0&h=180
Gangnani,Hot Springs,Subtropical climate,1500,Garhwal,3000-6000,https://en.wikipedia.org/wiki/Gangotri,https://tse3.mm.bing.net/th?id=OIP.CJB1BkttlRosaDsf6cFn8wHaFj&pid=Api&P=0&h=180
Janki Chatti,Temple town,Cold alpine climate,2650,Garhwal,4000-8000,https://www.jatland.com/home/Janki_Chatti,https://tse4.mm.bing.net/th?id=OIP.0RsvFcswBjidf04EufgNyAHaGm&pid=Api&P=0&h=180
Harsil,Village,Pleasant summers and cold winters,2670,Garhwal,3000-6000,https://en.wikipedia.org/wiki/Harsil,https://tse2.mm.bing.net/th?id=OIP.D-MPQfw7k7OwQf8bdXb4rAHaEV&pid=Api&P=0&h=180
Pithoragarh Fort,Fort,Pleasant summers and cold winters,1646,Kumaon,2000-5000,https://en.wikipedia.org/wiki/Pithoragarh_Fort,https://tse3.mm.bing.net/th?id=OIP.9LEuHw5-ttL3ODpLgyeqUQHaEB&pid=Api&P=0&h=180
Khatima,Town,Subtropical climate,258,Terai,2000-5000,https://en.wikipedia.org/wiki/Khatima,https://tse4.mm.bing.net/th?id=OIP.C956tfzAs6ih_nUrq8m-ewHaC2&pid=Api&P=0&h=180
